fdc_id,description,data_type,Energy,"Carbohydrate, by difference",Total lipid (fat),Protein,"Fiber, total dietary"
167782,"abiyuch, raw",SR Legacy,69.0,17.6,0.1,1.5,5.3
171687,"acerola juice, raw",SR Legacy,23.0,4.8,0.3,0.4,0.3
171686,"acerola, (west indian cherry), raw",SR Legacy,32.0,7.69,0.3,0.4,1.1
168061,acorn stew (apache),SR Legacy,95.0,9.22,3.47,6.81,0.7
168992,"agave, cooked (southwest)",SR Legacy,563.0,32.0,0.29,0.99,10.6
168993,"agave, dried (southwest)",SR Legacy,341.0,82.0,0.69,1.71,15.6
169814,"agave, raw (southwest)",SR Legacy,68.0,16.2,0.15,0.52,6.6
169823,"agutuk, fish with shortening (alaskan ice cream) (alaska native)",SR Legacy,1960.0,10.5,43.5,9.0,
168976,"agutuk, fish/berry with seal oil (alaskan ice cream) (alaska native)",SR Legacy,353.0,13.4,31.8,3.4,0.5
168977,"agutuk, meat-caribou (alaskan ice cream) (alaska native)",SR Legacy,258.0,0.9,18.6,21.7,
168749,"alcoholic beverage, beer, light",SR Legacy,123.0,1.64,0.0,0.24,0.0
169572,"alcoholic beverage, beer, light, bud light",SR Legacy,29.0,1.3,0.0,0.25,0.0
168748,"alcoholic beverage, beer, light, budweiser select",SR Legacy,117.0,0.87,0.0,0.2,0.0
174145,"alcoholic beverage, beer, light, higher alcohol",SR Legacy,46.0,0.77,0.0,0.25,0.0
169575,"alcoholic beverage, beer, light, low carb",SR Legacy,27.0,0.73,0.0,0.17,0.0
168746,"alcoholic beverage, beer, regular, all",SR Legacy,43.0,3.55,0.0,0.46,0.0
168747,"alcoholic beverage, beer, regular, budweiser",SR Legacy,170.0,2.97,0.0,0.36,0.0
173168,"alcoholic beverage, creme de menthe, 72 proof",SR Legacy,371.0,41.6,0.3,0.0,0.0
169573,"alcoholic beverage, daiquiri, canned",SR Legacy,125.0,15.7,0.0,0.0,0.0
169574,"alcoholic beverage, daiquiri, prepared-from-recipe",SR Legacy,186.0,6.94,0.06,0.06,0.1
173664,"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",SR Legacy,295.0,0.0,0.0,0.0,0.0
174815,"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",SR Legacy,231.0,0.0,0.0,0.0,0.0
171919,"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",SR Legacy,1050.0,0.1,0.0,0.0,0.0
171920,"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",SR Legacy,1100.0,0.0,0.0,0.0,0.0
173663,"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",SR Legacy,275.0,0.0,0.0,0.0,0.0
174817,"alcoholic beverage, distilled, rum, 80 proof",SR Legacy,231.0,0.0,0.0,0.0,0.0
174818,"alcoholic beverage, distilled, vodka, 80 proof",SR Legacy,967.0,0.0,0.0,0.0,0.0
174819,"alcoholic beverage, distilled, whiskey, 86 proof",SR Legacy,1050.0,0.1,0.0,0.0,0.0
175098,"alcoholic beverage, liqueur, coffee with cream, 34 proof",SR Legacy,1370.0,20.9,15.7,2.8,0.0
175097,"alcoholic beverage, liqueur, coffee, 53 proof",SR Legacy,1410.0,46.8,0.3,0.1,0.0
173665,"alcoholic beverage, liqueur, coffee, 63 proof",SR Legacy,308.0,32.2,0.3,0.1,0.0
174141,"alcoholic beverage, malt beer, hard lemonade",SR Legacy,68.0,10.1,0.0,0.0,0.0
168750,"alcoholic beverage, pina colada, canned",SR Legacy,237.0,27.6,7.6,0.6,0.1
168752,"alcoholic beverage, pina colada, prepared-from-recipe",SR Legacy,728.0,22.7,1.88,0.42,0.3
167723,"alcoholic beverage, rice (sake)",SR Legacy,561.0,5.0,0.0,0.5,0.0
168753,"alcoholic beverage, tequila sunrise, canned",SR Legacy,110.0,11.3,0.1,0.3,0.0
173662,"alcoholic beverage, whiskey sour",SR Legacy,149.0,13.2,0.03,0.0,0.0
174810,"alcoholic beverage, whiskey sour, canned",SR Legacy,119.0,13.4,0.0,0.0,0.1
174812,"alcoholic beverage, whiskey sour, prepared from item 14028",SR Legacy,153.0,12.8,0.06,0.06,0.0
173164,"alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",SR Legacy,164.0,15.8,0.02,0.1,0.0
169070,"alcoholic beverage, wine, cooking",SR Legacy,50.0,6.3,0.0,0.5,0.0
175112,"alcoholic beverage, wine, dessert, dry",SR Legacy,152.0,11.7,0.0,0.2,0.0
173176,"alcoholic beverage, wine, dessert, sweet",SR Legacy,160.0,13.7,0.0,0.2,0.0
169071,"alcoholic beverage, wine, light",SR Legacy,49.0,1.17,0.0,0.07,0.0
173185,"alcoholic beverage, wine, table, all",SR Legacy,347.0,2.72,0.0,0.07,0.0
173190,"alcoholic beverage, wine, table, red",SR Legacy,85.0,2.61,0.0,0.07,0.0
173191,"alcoholic beverage, wine, table, red, barbera",SR Legacy,85.0,2.79,0.0,0.07,
173208,"alcoholic beverage, wine, table, red, burgundy",SR Legacy,86.0,3.69,0.0,0.07,
174834,"alcoholic beverage, wine, table, red, cabernet franc",SR Legacy,349.0,2.45,0.0,0.07,
174833,"alcoholic beverage, wine, table, red, cabernet sauvignon",SR Legacy,83.0,2.6,0.0,0.07,
174840,"alcoholic beverage, wine, table, red, carignane",SR Legacy,311.0,2.4,0.0,0.07,
173194,"alcoholic beverage, wine, table, red, claret",SR Legacy,348.0,3.01,0.0,0.07,
